tiles,bl,fixed_energy_analog,epoch_energy_analog,fixed_energy_digital,epoch_energy_digital,total_fixed_energy,total_epoch_energy,total_energy
1,2,457933087.9625,792246342060.922,1229143256.18,1708609710714.052,1687076344.1425,2500856052774.974,2502543129119.1167
1,5,457933087.9625,1184531591244.374,1229143256.18,1133434164533.084,1687076344.1425,2317965755777.458,2319652832121.6006
1,10,457933087.9625,1533247379492.49,1229143256.18,761261752298.34,1687076344.1425,2294509131790.83,2296196208134.9727
1,31,457933087.9625,3499315142016.548,1229143256.18,558258618352.116,1687076344.1425,4057573760368.664,4059260836712.8066
1,100,457933087.9625,8557607447706.771,1229143256.18,439840123550.152,1687076344.1425,8997447571256.924,8999134647601.066
4,2,3014394536.245,1188050760782.4631,4104791560.87,2571113910024.7163,7119186097.115,3759164670807.1797,3766283856904.295
4,5,3014394536.245,1522495722437.6946,4104791560.87,1464343021603.4807,7119186097.115,2986838744041.1753,2993957930138.2905
4,10,3014394536.245,2182145704511.773,4104791560.87,1089743643983.9856,7119186097.115,3271889348495.759,3279008534592.874
4,31,3014394536.245,4426630538018.847,4104791560.87,732171510801.7404,7119186097.115,5158802048820.587,5165921234917.702
4,100,3014394536.245,10204040929622.889,4104791560.87,527844577554.7431,7119186097.115,10731885507177.63,10739004693274.746
8,2,6345365115.802501,1943216903399.8745,7170174358.07,4222554211535.956,13515539473.872501,6165771114935.83,6179286654409.702
8,5,6345365115.802502,2039502978060.9167,7170174358.07,1973958269620.467,13515539473.872501,4013461247681.384,4026976787155.2563
8,10,6345365115.802502,2696064323885.3257,7170174358.07,1356023506956.6687,13515539473.872501,4052087830841.994,4065603370315.8667
8,31,6345365115.802501,5045837039138.999,7170174358.07,841077871403.5034,13515539473.872501,5886914910542.502,5900430450016.374
8,100,6345365115.802501,11850983298175.594,7170174358.07,617934762663.7985,13515539473.872501,12468918060839.393,12482433600313.266
16,2,12968483314.63,2707109253892.26,13250107285.83,5930178124886.689,26218590600.46,8637287378778.949,8663505969379.409
16,5,12968483314.63,2545062354242.921,13250107285.83,2494163152525.8726,26218590600.46,5039225506768.793,5065444097369.253
16,10,12968483314.63,3282261776722.521,13250107285.83,1674403235262.124,26218590600.46,4956665011984.645,4982883602585.1045
16,31,12968483314.63,5770189400688.138,13250107285.83,976735220569.5724,26218590600.46,6746924621257.71,6773143211858.17
16,100,12968483314.63,14158042866156.96,13250107285.83,749993115794.4932,26218590600.46,14908035981951.453,14934254572551.914
32,2,26654145483.265003,4326476584139.1294,25754529662.77,9617113074705.95,52408675146.035,13943589658845.078,13995998333991.113
32,5,26654145483.265003,3441105584618.156,25754529662.77,3451375159520.64,52408675146.035,6892480744138.796,6944889419284.831
32,10,26654145483.265003,3671706382427.825,25754529662.77,1923422614941.1897,52408675146.035,5595128997369.015,5647537672515.05
32,31,26654145483.265,7118307893872.15,25754529662.77,1240337947952.73,52408675146.035,8358645841824.881,8411054516970.916
32,100,26654145483.265,16139698249074.424,25754529662.77,880819702169.33,52408675146.035,17020517951243.754,17072926626389.79
