tiles,bl,time
1,2,6606434.54
1,5,4565175.460000001
1,10,3270407.82
1,31,3023416.38
1,100,3997813.0399999996
4,2,2542438.886494547
4,5,1511175.8420501028
4,10,1199635.2731612138
4,31,1013078.3664945472
4,100,1214949.4198278806
8,2,2137798.1467836276
8,5,1044007.2190913204
8,10,765044.9221682433
8,31,594432.5913990127
8,100,719074.3313990125
16,2,1571678.8602285003
16,5,691233.1185043625
16,10,494489.0836767763
16,31,358968.6285043626
16,100,444963.2305733281
32,2,1379991.5357838238
32,5,518142.78689493483
32,10,308425.5313393793
32,31,243352.11856160156
32,100,270932.0657838238
