bl,iters,iters_zero,std
1,0,0,0.41438794136047363
1,0,100,0.38392436504364014
1,0,250,0.3533962368965149
1,0,500,0.31409507989883423
1,0,1000,0.2537652552127838
1,0,2500,0.15473446249961853
1,0,5000,0.1256168931722641
1,0,10000,0.12714211642742157
1,10,0,0.3957079350948334
1,10,100,0.37266385555267334
1,10,250,0.34018799662590027
1,10,500,0.2995942234992981
1,10,1000,0.23537178337574005
1,10,2500,0.14679427444934845
1,10,5000,0.1127583235502243
1,10,10000,0.11825764924287796
1,50,0,0.3315916359424591
1,50,100,0.2975892722606659
1,50,250,0.2751026153564453
1,50,500,0.23976187407970428
1,50,1000,0.18203578889369965
1,50,2500,0.09749359637498856
1,50,5000,0.0766313448548317
1,50,10000,0.07442696392536163
1,100,0,0.25291895866394043
1,100,100,0.22981563210487366
1,100,250,0.2060854732990265
1,100,500,0.16710102558135986
1,100,1000,0.12124908715486526
1,100,2500,0.06135476753115654
1,100,5000,0.04743777588009834
1,100,10000,0.04563330486416817
1,250,0,0.09564004838466644
1,250,100,0.08787120878696442
1,250,250,0.07102924585342407
1,250,500,0.05337747186422348
1,250,1000,0.034881267696619034
1,250,2500,0.016027580946683884
1,250,5000,0.013772333040833473
1,250,10000,0.014660350047051907
1,500,0,0.015768082812428474
1,500,100,0.01347470935434103
1,500,250,0.012694122269749641
1,500,500,0.012012621387839317
1,500,1000,0.011471386067569256
1,500,2500,0.011166331358253956
1,500,5000,0.01084167417138815
1,500,10000,0.010984260588884354
