bl,w_init,iters,iters_zero,std
1,0.1,26992.0,0,0.02136963978409767
1,0.1,23624.0,1000,0.021681856364011765
1,0.1,24968.0,2000,0.020904723554849625
1,0.1,25304.0,3000,0.020680686458945274
1,0.1,26112.0,4000,0.0212565828114748
1,0.1,28368.0,5000,0.021529074758291245
1,0.1,28336.0,6000,0.021838752552866936
1,0.1,29560.0,7000,0.021296830847859383
1,0.1,31472.0,8000,0.02065289579331875
1,0.1,32840.0,9000,0.020251356065273285
1,0.1,31960.0,10000,0.021613579243421555
1,0.2,36760.0,0,0.02137313038110733
1,0.2,25736.0,1000,0.021123390644788742
1,0.2,25744.0,2000,0.020317332819104195
1,0.2,26824.0,3000,0.02115766517817974
1,0.2,26672.0,4000,0.020455429330468178
1,0.2,27752.0,5000,0.020798183977603912
1,0.2,28336.0,6000,0.0211130790412426
1,0.2,29392.0,7000,0.021536216139793396
1,0.2,31224.0,8000,0.0202538650482893
1,0.2,31536.0,9000,0.021237224340438843
1,0.2,32504.0,10000,0.021275468170642853
1,0.3,48176.0,0,0.02147609181702137
1,0.3,27192.0,1000,0.021311474964022636
1,0.3,24440.0,2000,0.020529499277472496
1,0.3,25632.0,3000,0.021224748343229294
1,0.3,25240.0,4000,0.021781744435429573
1,0.3,27912.0,5000,0.0219030249863863
1,0.3,29216.0,6000,0.021232008934020996
1,0.3,29568.0,7000,0.02140560746192932
1,0.3,30440.0,8000,0.021495265886187553
1,0.3,31952.0,9000,0.021176088601350784
1,0.3,32960.0,10000,0.020378483459353447
1,0.4,58352.0,0,0.020062031224370003
1,0.4,31664.0,1000,0.020805014297366142
1,0.4,25280.0,2000,0.02091607078909874
1,0.4,25648.0,3000,0.021415241062641144
1,0.4,27704.0,4000,0.02045266143977642
1,0.4,27976.0,5000,0.02123832516372204
1,0.4,29104.0,6000,0.02113436348736286
1,0.4,28752.0,7000,0.021667180582880974
1,0.4,31424.0,8000,0.019963087514042854
1,0.4,32952.0,9000,0.019867748022079468
1,0.4,33720.0,10000,0.020899783819913864
